Person ID,Name,Party,URI
11002,Penny Allman-Payne,Australian Greens,https://www.openaustralia.org.au/senator/penny_allman-payne/queensland
10983,Michelle Ananda-Rajah,Australian Labor Party,https://www.openaustralia.org.au/senator/michelle_ananda-rajah/victoria
10954,Alex Antic,Liberal Party,https://www.openaustralia.org.au/senator/alex_antic/sa
10914,Wendy Askew,Liberal Party,https://www.openaustralia.org.au/senator/wendy_askew/tasmania
10946,Tim Ayres,Australian Labor Party,https://www.openaustralia.org.au/senator/tim_ayres/nsw
11003,Ralph Babet,United Australia Party,https://www.openaustralia.org.au/senator/ralph_babet/victoria
11062,Sean Bell,Pauline Hanson's One Nation Party,https://www.openaustralia.org.au/senator/sean_bell/nsw
11022,Leah Blyth,Liberal Party,https://www.openaustralia.org.au/senator/leah_blyth/sa
10945,Andrew Bragg,Liberal Party,https://www.openaustralia.org.au/senator/andrew_bragg/nsw
10900,Slade Brockman,-,https://www.openaustralia.org.au/senator/slade_brockman/wa
10071,Carol Brown,Australian Labor Party,https://www.openaustralia.org.au/senator/carol_brown/tasmania
11004,Ross Cadell,National Party,https://www.openaustralia.org.au/senator/ross_cadell/nsw
10827,Matthew Canavan,Liberal National Party,https://www.openaustralia.org.au/senator/matthew_canavan/queensland
10707,Michaelia Cash,Liberal Party,https://www.openaustralia.org.au/senator/michaelia_cash/wa
10955,Claire Chandler,Liberal Party,https://www.openaustralia.org.au/senator/claire_chandler/tasmania
10849,Anthony Chisholm,Australian Labor Party,https://www.openaustralia.org.au/senator/anthony_chisholm/queensland
10915,Raff Ciccone,Australian Labor Party,https://www.openaustralia.org.au/senator/raff_ciccone/victoria
10131,Richard Colbeck,Liberal Party,https://www.openaustralia.org.au/senator/richard_colbeck/tasmania
11055,Jessica Collins,Liberal Party,https://www.openaustralia.org.au/senator/jessica_collins/nsw
10964,Dorinda Cox,Australian Labor Party,https://www.openaustralia.org.au/senator/dorinda_cox/wa
11021,Lisa Darmanin,Australian Labor Party,https://www.openaustralia.org.au/senator/lisa_darmanin/victoria
11054,Josh Dolega,Australian Labor Party,https://www.openaustralia.org.au/senator/josh_dolega/tasmania
11056,Richard Dowling,Australian Labor Party,https://www.openaustralia.org.au/senator/richard_dowling/tasmania
10847,Jonathon Duniam,Liberal Party,https://www.openaustralia.org.au/senator/jonathon_duniam/tasmania
10708,Don Farrell,Australian Labor Party,https://www.openaustralia.org.au/senator/don_farrell/sa
10912,Mehreen Faruqi,Australian Greens,https://www.openaustralia.org.au/senator/mehreen_faruqi/nsw
10838,Katy Gallagher,Australian Labor Party,https://www.openaustralia.org.au/senator/katy_gallagher/act
11017,Varun Ghosh,Australian Labor Party,https://www.openaustralia.org.au/senator/varun_ghosh/wa
10950,Nita Green,Australian Labor Party,https://www.openaustralia.org.au/senator/nita_green/queensland
10965,Karen Grogan,Australian Labor Party,https://www.openaustralia.org.au/senator/karen_grogan/sa
10280,Pauline Hanson,Pauline Hanson's One Nation Party,https://www.openaustralia.org.au/senator/pauline_hanson/queensland
10711,Sarah Hanson-Young,Australian Greens,https://www.openaustralia.org.au/senator/sarah_hanson-young/sa
10790,Sarah Henderson,Liberal Party,https://www.openaustralia.org.au/senator/sarah_henderson/victoria
11020,Steph Hodgins-May,Australian Greens,https://www.openaustralia.org.au/senator/steph_hodgins-may/victoria
10853,Jane Hume,Liberal Party,https://www.openaustralia.org.au/senator/jane_hume/victoria
11014,Maria Kovacic,Liberal Party,https://www.openaustralia.org.au/senator/maria_kovacic/nsw
10830,Jacqui Lambie,Jacqui Lambie Network,https://www.openaustralia.org.au/senator/jacqui_lambie/tasmania
11005,Kerrynne Liddle,Liberal Party,https://www.openaustralia.org.au/senator/kerrynne_liddle/sa
10782,Sue Lines,-,https://www.openaustralia.org.au/senator/sue_lines/wa
10839,Jenny McAllister,Australian Labor Party,https://www.openaustralia.org.au/senator/jenny_mcallister/nsw
10855,Malarndirri McCarthy,Australian Labor Party,https://www.openaustralia.org.au/senator/malarndirri_mccarthy/nt
10951,Susan McDonald,National Party,https://www.openaustralia.org.au/senator/susan_mcdonald/queensland
10833,James McGrath,Liberal National Party,https://www.openaustralia.org.au/senator/james_mcgrath/queensland
10758,Bridget McKenzie,National Party,https://www.openaustralia.org.au/senator/bridget_mckenzie/victoria
10841,Nick McKim,Australian Greens,https://www.openaustralia.org.au/senator/nick_mckim/tasmania
10959,Andrew McLachlan,Liberal Party,https://www.openaustralia.org.au/senator/andrew_mclachlan/sa
11057,Corinne Mulholland,Australian Labor Party,https://www.openaustralia.org.au/senator/corinne_mulholland/queensland
11006,Jacinta Nampijinpa Price,Country Liberal Party,https://www.openaustralia.org.au/senator/jacinta_nampijinpa_price/nt
10747,Deborah O'Neill,Australian Labor Party,https://www.openaustralia.org.au/senator/deborah_o%27neill/nsw
10958,Matt O'Sullivan,Liberal Party,https://www.openaustralia.org.au/senator/matt_o%27sullivan/wa
10845,James Paterson,Liberal Party,https://www.openaustralia.org.au/senator/james_paterson/victoria
11007,Fatima Payman,Australia's Voice,https://www.openaustralia.org.au/senator/fatima_payman/wa
11008,Barbara Pocock,Australian Greens,https://www.openaustralia.org.au/senator/barbara_pocock/sa
11009,David Pocock,Independent,https://www.openaustralia.org.au/senator/david_pocock/act
10515,Helen Polley,Australian Labor Party,https://www.openaustralia.org.au/senator/helen_polley/tasmania
10856,Malcolm Roberts,Pauline Hanson's One Nation Party,https://www.openaustralia.org.au/senator/malcolm_roberts/queensland
10781,Anne Ruston,Liberal Party,https://www.openaustralia.org.au/senator/anne_ruston/sa
10949,Paul Scarr,Liberal Party,https://www.openaustralia.org.au/senator/paul_scarr/queensland
10942,Dave Sharma,Liberal Party,https://www.openaustralia.org.au/senator/dave_sharma/nsw
10944,Tony Sheldon,Australian Labor Party,https://www.openaustralia.org.au/senator/tony_sheldon/nsw
11010,David Shoebridge,Australian Greens,https://www.openaustralia.org.au/senator/david_shoebridge/nsw
10768,Dean Smith,Liberal Party,https://www.openaustralia.org.au/senator/dean_smith/wa
10953,Marielle Smith,Australian Labor Party,https://www.openaustralia.org.au/senator/marielle_smith/sa
10901,Jordon Steele-John,Australian Greens,https://www.openaustralia.org.au/senator/jordon_steele-john/wa
10610,Glenn Sterle,Australian Labor Party,https://www.openaustralia.org.au/senator/glenn_sterle/wa
11011,Jana Stewart,Australian Labor Party,https://www.openaustralia.org.au/senator/jana_stewart/victoria
10961,Lidia Thorpe,Independent,https://www.openaustralia.org.au/senator/lidia_thorpe/victoria
11012,Tammy Tyrrell,Independent,https://www.openaustralia.org.au/senator/tammy_tyrrell/tasmania
11058,Charlotte Walker,Australian Labor Party,https://www.openaustralia.org.au/senator/charlotte_walker/sa
10956,Jess Walsh,Australian Labor Party,https://www.openaustralia.org.au/senator/jess_walsh/victoria
10764,Larissa Waters,Australian Greens,https://www.openaustralia.org.au/senator/larissa_waters/queensland
10857,Murray Watt,Australian Labor Party,https://www.openaustralia.org.au/senator/murray_watt/queensland
10780,Peter Whish-Wilson,Australian Greens,https://www.openaustralia.org.au/senator/peter_whish-wilson/tasmania
11059,Ellie Whiteaker,Australian Labor Party,https://www.openaustralia.org.au/senator/ellie_whiteaker/wa
11060,Tyron Whitten,Pauline Hanson's One Nation Party,https://www.openaustralia.org.au/senator/tyron_whitten/wa
10678,Penny Wong,Australian Labor Party,https://www.openaustralia.org.au/senator/penny_wong/sa
